Model,Publication Label,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,8,5696,3,4.25920698e-05,7.968865975e-05,5.805010174e-05,0.000526685,0.000468635
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,9,5696,2,7.969292346e-05,0.000232542,0.000134395,0.000351124,0.000216729
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,10,5696,69,0.000232577,0.997367799,0.011430911,0.012113764,0.000682853
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,1,5697,0,0.000289619,0.000289631,0.000289626,0.0,0.000289626
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,2,5697,0,0.000289631,0.000289641,0.000289636,0.0,0.000289636
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,3,5696,0,0.000289641,0.000289654,0.000289647,0.0,0.000289647
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,4,5696,0,0.000289654,0.000289668,0.000289661,0.0,0.000289661
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,5,5696,1,0.000289668,0.00028969,0.000289678,0.000175562,0.000114117
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,6,5696,0,0.00028969,0.000289723,0.000289704,0.0,0.000289704
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,7,5696,0,0.000289723,0.000289784,0.00028975,0.0,0.00028975
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,8,5696,3,0.000289784,0.000289928,0.000289844,0.000526685,0.000236842
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,9,5696,2,0.000289928,0.000290521,0.00029014,0.000351124,6.098352981e-05
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN calibrated,full,10,5696,69,0.000290522,0.994562996,0.009256064,0.012113764,0.0028577
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,1,5697,0,1.000000012e-07,8.809058158e-07,4.284572433e-07,0.0,4.284572433e-07
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,2,5697,0,8.809629435e-07,2.202483529e-06,1.487125534e-06,0.0,1.487125534e-06
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,3,5696,0,2.202516953e-06,4.04788625e-06,3.058966416e-06,0.0,3.058966416e-06
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,4,5696,1,4.04839966e-06,6.920261058e-06,5.337606365e-06,0.000175562,0.000170224
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,5,5696,0,6.921244676e-06,1.172569955e-05,9.078936149e-06,0.0,9.078936149e-06
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,6,5696,1,1.172760039e-05,2.052208765e-05,1.574905384e-05,0.000175562,0.000159813
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,7,5696,1,2.052467244e-05,3.761950938e-05,2.797321812e-05,0.000175562,0.000147589
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,8,5696,1,3.762216511e-05,8.522791904e-05,5.702551799e-05,0.000175562,0.000118536
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,9,5696,1,8.522938151e-05,0.000273285,0.000153707,0.000175562,2.185440451e-05
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,10,5696,70,0.000273299,0.999566615,0.015246937,0.012289326,0.002957612
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,1,5697,0,0.000262695,0.000262698,0.000262697,0.0,0.000262697
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,2,5697,0,0.000262698,0.000262702,0.0002627,0.0,0.0002627
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,3,5696,0,0.000262702,0.000262708,0.000262705,0.0,0.000262705
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,4,5696,1,0.000262708,0.000262718,0.000262713,0.000175562,8.715076301e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,5,5696,0,0.000262718,0.000262733,0.000262725,0.0,0.000262725
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,6,5696,1,0.000262733,0.000262762,0.000262746,0.000175562,8.718449132e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,7,5696,1,0.000262762,0.000262817,0.000262786,0.000175562,8.722409776e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,8,5696,1,0.000262817,0.000262971,0.00026288,0.000175562,8.731825385e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,9,5696,1,0.000262971,0.000263582,0.000263194,0.000175562,8.763187545e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,10,5696,70,0.000263582,0.983437812,0.010792538,0.012289326,0.001496788
